aeso_price,year,month,hour,day
20.42,2017,Aug,14,16
20.43,2017,Aug,15,16
20.43,2017,Aug,16,16
20.43,2017,Aug,17,16
19.98,2017,Aug,18,16
18.77,2017,Aug,19,16
18.46,2017,Aug,20,16
18.41,2017,Aug,21,16
18.89,2017,Aug,22,16
18.36,2017,Aug,23,16
17.15,2017,Aug,0,17
15.3,2017,Aug,1,17
14.54,2017,Aug,2,17
14.97,2017,Aug,3,17
14.99,2017,Aug,4,17
15.34,2017,Aug,5,17
17.15,2017,Aug,6,17
18.29,2017,Aug,7,17
18.62,2017,Aug,8,17
20.04,2017,Aug,9,17
20.54,2017,Aug,10,17
25.5,2017,Aug,11,17
33.27,2017,Aug,12,17
46.93,2017,Aug,13,17
43.15,2017,Aug,14,17
32.47,2017,Aug,15,17
23.62,2017,Aug,16,17
27.68,2017,Aug,17,17
27.77,2017,Aug,18,17
24.85,2017,Aug,19,17
20.24,2017,Aug,20,17
18.89,2017,Aug,21,17
19.59,2017,Aug,22,17
18.39,2017,Aug,23,17
18.29,2017,Aug,0,18
18.28,2017,Aug,1,18
17.69,2017,Aug,2,18
18.28,2017,Aug,3,18
15.14,2017,Aug,4,18
14.04,2017,Aug,5,18
14.49,2017,Aug,6,18
17.83,2017,Aug,7,18
17.05,2017,Aug,8,18
18.32,2017,Aug,9,18
18.39,2017,Aug,10,18
19.55,2017,Aug,11,18
20.42,2017,Aug,12,18
18.55,2017,Aug,13,18
18.4,2017,Aug,14,18
18.39,2017,Aug,15,18
18.34,2017,Aug,16,18
18.29,2017,Aug,17,18
18.29,2017,Aug,18,18
17.82,2017,Aug,19,18
15.77,2017,Aug,20,18
15.41,2017,Aug,21,18
17.83,2017,Aug,22,18
15.84,2017,Aug,23,18
15.41,2017,Aug,0,19
14.27,2017,Aug,1,19
13.48,2017,Aug,2,19
13.48,2017,Aug,3,19
13.93,2017,Aug,4,19
15.33,2017,Aug,5,19
17.17,2017,Aug,6,19
16.36,2017,Aug,7,19
17.48,2017,Aug,8,19
18.13,2017,Aug,9,19
18.4,2017,Aug,10,19
18.5,2017,Aug,11,19
19.76,2017,Aug,12,19
21.52,2017,Aug,13,19
18.89,2017,Aug,14,19
18.51,2017,Aug,15,19
18.88,2017,Aug,16,19
20.43,2017,Aug,17,19
20.43,2017,Aug,18,19
19.84,2017,Aug,19,19
18.56,2017,Aug,20,19
18.42,2017,Aug,21,19
19.82,2017,Aug,22,19
18.4,2017,Aug,23,19
18.39,2017,Aug,0,20
18.39,2017,Aug,1,20
18.32,2017,Aug,2,20
17.65,2017,Aug,3,20
16.54,2017,Aug,4,20
18.29,2017,Aug,5,20
18.21,2017,Aug,6,20
16.98,2017,Aug,7,20
15.41,2017,Aug,8,20
17.69,2017,Aug,9,20
18.36,2017,Aug,10,20
18.39,2017,Aug,11,20
18.42,2017,Aug,12,20
18.5,2017,Aug,13,20
18.5,2017,Aug,14,20
18.5,2017,Aug,15,20
18.42,2017,Aug,16,20
18.99,2017,Aug,17,20
19.24,2017,Aug,18,20
19.57,2017,Aug,19,20
